FID,dec_ssh
vbl_ssh_allreg_dec.60443,3.29999995
vbl_ssh_allreg_dec.60444,3.32999992
vbl_ssh_allreg_dec.60445,3.3599999
vbl_ssh_allreg_dec.60446,3.3900001
vbl_ssh_allreg_dec.60447,3.41000009
vbl_ssh_allreg_dec.60448,3.43000007
vbl_ssh_allreg_dec.60449,3.46000004
vbl_ssh_allreg_dec.60450,3.48000002
vbl_ssh_allreg_dec.60451,3.50999999
vbl_ssh_allreg_dec.60452,3.51999998
vbl_ssh_allreg_dec.60453,3.54999995
vbl_ssh_allreg_dec.60454,3.55999994
vbl_ssh_allreg_dec.60455,3.57999992
vbl_ssh_allreg_dec.60456,3.58999991
vbl_ssh_allreg_dec.60457,3.5999999
vbl_ssh_allreg_dec.60458,3.6099999
vbl_ssh_allreg_dec.60459,3.63000011
vbl_ssh_allreg_dec.60460,3.6400001
vbl_ssh_allreg_dec.60461,3.6500001
vbl_ssh_allreg_dec.60462,3.66000009
vbl_ssh_allreg_dec.60463,3.66000009
vbl_ssh_allreg_dec.60464,3.67000008
vbl_ssh_allreg_dec.60465,0.77999997
vbl_ssh_allreg_dec.60466,0.89999998
vbl_ssh_allreg_dec.60467,1.10000002
vbl_ssh_allreg_dec.60468,1.25999999
vbl_ssh_allreg_dec.60469,1.39999998
vbl_ssh_allreg_dec.60470,1.54999995
vbl_ssh_allreg_dec.60471,1.70000005
vbl_ssh_allreg_dec.60472,1.94000006
vbl_ssh_allreg_dec.60473,2.08999991
vbl_ssh_allreg_dec.60474,2.22000003
vbl_ssh_allreg_dec.60475,2.31999993
vbl_ssh_allreg_dec.60476,2.42000008
vbl_ssh_allreg_dec.60477,2.50999999
vbl_ssh_allreg_dec.60478,2.58999991
vbl_ssh_allreg_dec.60479,2.66000009
vbl_ssh_allreg_dec.60480,2.72000003
vbl_ssh_allreg_dec.60481,2.77999997
vbl_ssh_allreg_dec.60482,2.82999992
vbl_ssh_allreg_dec.60483,2.86999989
vbl_ssh_allreg_dec.60484,2.91000009
vbl_ssh_allreg_dec.60485,2.97000003
vbl_ssh_allreg_dec.60486,3.00999999
vbl_ssh_allreg_dec.60487,3.00999999
vbl_ssh_allreg_dec.60488,2.98000002
vbl_ssh_allreg_dec.60489,3.06999993
vbl_ssh_allreg_dec.60490,3.13000011
vbl_ssh_allreg_dec.60491,3.17000008
vbl_ssh_allreg_dec.60492,3.24000001
vbl_ssh_allreg_dec.60493,3.25
vbl_ssh_allreg_dec.35,4.17999983
vbl_ssh_allreg_dec.60494,3.25999999
vbl_ssh_allreg_dec.60495,3.26999998
vbl_ssh_allreg_dec.60496,3.28999996
vbl_ssh_allreg_dec.60497,3.31999993
vbl_ssh_allreg_dec.60498,3.3499999
vbl_ssh_allreg_dec.60499,3.36999989
vbl_ssh_allreg_dec.60500,3.38000011
vbl_ssh_allreg_dec.60501,3.41000009
vbl_ssh_allreg_dec.60502,3.44000006
vbl_ssh_allreg_dec.60503,3.47000003
vbl_ssh_allreg_dec.60504,3.49000001
vbl_ssh_allreg_dec.60505,3.50999999
vbl_ssh_allreg_dec.60506,3.52999997
vbl_ssh_allreg_dec.60507,3.54999995
vbl_ssh_allreg_dec.60508,3.55999994
vbl_ssh_allreg_dec.60509,3.57999992
vbl_ssh_allreg_dec.60510,3.58999991
vbl_ssh_allreg_dec.60511,3.5999999
vbl_ssh_allreg_dec.60512,3.6099999
vbl_ssh_allreg_dec.60513,3.61999989
vbl_ssh_allreg_dec.60514,3.63000011
vbl_ssh_allreg_dec.60515,3.6400001
vbl_ssh_allreg_dec.60516,3.66000009
vbl_ssh_allreg_dec.60517,3.66000009
vbl_ssh_allreg_dec.60518,3.67000008
vbl_ssh_allreg_dec.60519,0.70999998
vbl_ssh_allreg_dec.60520,0.83999997
vbl_ssh_allreg_dec.60521,0.98000002
vbl_ssh_allreg_dec.60522,1.01999998
vbl_ssh_allreg_dec.60523,0.97000003
vbl_ssh_allreg_dec.60524,1.64999998
vbl_ssh_allreg_dec.60525,1.80999994
vbl_ssh_allreg_dec.60526,2.01999998
vbl_ssh_allreg_dec.60527,2.1500001
vbl_ssh_allreg_dec.60528,2.25999999
vbl_ssh_allreg_dec.60529,2.3599999
vbl_ssh_allreg_dec.60530,2.45000005
vbl_ssh_allreg_dec.60531,2.52999997
vbl_ssh_allreg_dec.60532,2.5999999
vbl_ssh_allreg_dec.60533,2.67000008
vbl_ssh_allreg_dec.60534,2.73000002
vbl_ssh_allreg_dec.60535,2.78999996
vbl_ssh_allreg_dec.60536,2.82999992
vbl_ssh_allreg_dec.60537,2.86999989
vbl_ssh_allreg_dec.60538,2.94000006
vbl_ssh_allreg_dec.60539,2.99000001
vbl_ssh_allreg_dec.60540,3.01999998
vbl_ssh_allreg_dec.60541,3.00999999
vbl_ssh_allreg_dec.60542,3.05999994
vbl_ssh_allreg_dec.60543,3.0999999
vbl_ssh_allreg_dec.60544,3.13000011
vbl_ssh_allreg_dec.60545,3.20000005
vbl_ssh_allreg_dec.60546,3.23000002
vbl_ssh_allreg_dec.60547,3.24000001
vbl_ssh_allreg_dec.60548,3.25
vbl_ssh_allreg_dec.60549,3.25999999
vbl_ssh_allreg_dec.60550,3.27999997
vbl_ssh_allreg_dec.60551,3.29999995
vbl_ssh_allreg_dec.60552,3.31999993
vbl_ssh_allreg_dec.60553,3.32999992
vbl_ssh_allreg_dec.60554,3.3499999
vbl_ssh_allreg_dec.60555,3.3900001
vbl_ssh_allreg_dec.60556,3.43000007
vbl_ssh_allreg_dec.60557,3.46000004
vbl_ssh_allreg_dec.60558,3.48000002
vbl_ssh_allreg_dec.60559,3.5
vbl_ssh_allreg_dec.60560,3.51999998
vbl_ssh_allreg_dec.60561,3.52999997
vbl_ssh_allreg_dec.60562,3.54999995
vbl_ssh_allreg_dec.36,4.17999983
vbl_ssh_allreg_dec.60563,3.55999994
vbl_ssh_allreg_dec.60564,3.56999993
vbl_ssh_allreg_dec.60565,3.58999991
vbl_ssh_allreg_dec.60566,3.5999999
vbl_ssh_allreg_dec.60567,3.6099999
vbl_ssh_allreg_dec.60568,3.61999989
vbl_ssh_allreg_dec.60569,3.63000011
vbl_ssh_allreg_dec.60570,3.6400001
vbl_ssh_allreg_dec.60571,3.6500001
vbl_ssh_allreg_dec.60572,3.6500001
vbl_ssh_allreg_dec.60573,0.79000002
vbl_ssh_allreg_dec.60574,0.81
vbl_ssh_allreg_dec.60575,0.72000003
vbl_ssh_allreg_dec.60576,1.44000006
vbl_ssh_allreg_dec.60577,1.75
vbl_ssh_allreg_dec.60578,1.96000004
vbl_ssh_allreg_dec.60579,2.06999993
vbl_ssh_allreg_dec.60580,2.17000008
vbl_ssh_allreg_dec.60581,2.26999998
vbl_ssh_allreg_dec.60582,2.38000011
vbl_ssh_allreg_dec.60583,2.46000004
vbl_ssh_allreg_dec.60584,2.53999996
vbl_ssh_allreg_dec.60585,2.5999999
vbl_ssh_allreg_dec.60586,2.67000008
vbl_ssh_allreg_dec.60587,2.73000002
vbl_ssh_allreg_dec.60588,2.78999996
vbl_ssh_allreg_dec.60589,2.82999992
vbl_ssh_allreg_dec.60590,2.88000011
vbl_ssh_allreg_dec.60591,2.94000006
vbl_ssh_allreg_dec.60592,2.98000002
vbl_ssh_allreg_dec.60593,3.00999999
vbl_ssh_allreg_dec.60594,3.04999995
vbl_ssh_allreg_dec.60595,3.06999993
vbl_ssh_allreg_dec.60596,3.08999991
vbl_ssh_allreg_dec.37,4.17999983
vbl_ssh_allreg_dec.60597,3.1500001
vbl_ssh_allreg_dec.60598,3.20000005
vbl_ssh_allreg_dec.60599,3.21000004
vbl_ssh_allreg_dec.60600,3.22000003
vbl_ssh_allreg_dec.60601,3.22000003
vbl_ssh_allreg_dec.60602,3.23000002
vbl_ssh_allreg_dec.60603,3.24000001
vbl_ssh_allreg_dec.60604,3.24000001
vbl_ssh_allreg_dec.60605,3.21000004
vbl_ssh_allreg_dec.60606,3.25999999
vbl_ssh_allreg_dec.60607,3.31999993
vbl_ssh_allreg_dec.60608,3.38000011
vbl_ssh_allreg_dec.60609,3.41000009
vbl_ssh_allreg_dec.60610,3.44000006
vbl_ssh_allreg_dec.60611,3.46000004
vbl_ssh_allreg_dec.60612,3.48000002
vbl_ssh_allreg_dec.60613,3.5
vbl_ssh_allreg_dec.60614,3.51999998
vbl_ssh_allreg_dec.60615,3.52999997
vbl_ssh_allreg_dec.60616,3.53999996
vbl_ssh_allreg_dec.60617,3.55999994
vbl_ssh_allreg_dec.60618,3.56999993
vbl_ssh_allreg_dec.60619,3.57999992
vbl_ssh_allreg_dec.60620,3.58999991
vbl_ssh_allreg_dec.60621,3.5999999
vbl_ssh_allreg_dec.60622,3.6099999
vbl_ssh_allreg_dec.60623,3.61999989
vbl_ssh_allreg_dec.60624,3.6400001
vbl_ssh_allreg_dec.60625,3.6400001
vbl_ssh_allreg_dec.60626,3.6500001
