FID,mar_ssh
vbl_ssh_allreg_mar.60977,2.8900001
vbl_ssh_allreg_mar.60978,2.9000001
vbl_ssh_allreg_mar.42,3.72000003
vbl_ssh_allreg_mar.60979,2.91000009
vbl_ssh_allreg_mar.60980,2.92000008
vbl_ssh_allreg_mar.60981,2.93000007
vbl_ssh_allreg_mar.60982,2.95000005
vbl_ssh_allreg_mar.60983,2.95000005
vbl_ssh_allreg_mar.60984,1.48000002
vbl_ssh_allreg_mar.60985,1.67999995
vbl_ssh_allreg_mar.60986,1.77999997
vbl_ssh_allreg_mar.60987,1.84000003
vbl_ssh_allreg_mar.60988,1.92999995
vbl_ssh_allreg_mar.60989,1.96000004
vbl_ssh_allreg_mar.60990,1.96000004
vbl_ssh_allreg_mar.60991,1.92999995
vbl_ssh_allreg_mar.60992,1.80999994
vbl_ssh_allreg_mar.60993,1.77999997
vbl_ssh_allreg_mar.60994,1.55999994
vbl_ssh_allreg_mar.60995,1.85000002
vbl_ssh_allreg_mar.60996,1.92999995
vbl_ssh_allreg_mar.60997,2.07999992
vbl_ssh_allreg_mar.60998,2.20000005
vbl_ssh_allreg_mar.60999,2.25999999
vbl_ssh_allreg_mar.61000,2.27999997
vbl_ssh_allreg_mar.61001,2.26999998
vbl_ssh_allreg_mar.61002,2.25
vbl_ssh_allreg_mar.61003,2.23000002
