FID,sep_ssh
vbl_ssh_allreg_sep.60991,1.64999998
vbl_ssh_allreg_sep.60992,1.53999996
vbl_ssh_allreg_sep.60993,1.52999997
vbl_ssh_allreg_sep.60994,1.24000001
vbl_ssh_allreg_sep.60995,1.46000004
vbl_ssh_allreg_sep.60996,1.54999995
vbl_ssh_allreg_sep.60997,1.67999995
vbl_ssh_allreg_sep.60998,1.77999997
vbl_ssh_allreg_sep.60999,1.83000004
vbl_ssh_allreg_sep.61000,1.84000003
vbl_ssh_allreg_sep.61001,1.84000003
vbl_ssh_allreg_sep.61002,1.80999994
vbl_ssh_allreg_sep.61003,1.78999996
vbl_ssh_allreg_sep.61004,1.78999996
