FID,jun_ssh
vbl_ssh_allreg_jun.60953,1.44000006
vbl_ssh_allreg_jun.60954,1.39999998
vbl_ssh_allreg_jun.60955,1.38
vbl_ssh_allreg_jun.60956,1.38999999
vbl_ssh_allreg_jun.60957,1.41999996
vbl_ssh_allreg_jun.60958,1.46000004
vbl_ssh_allreg_jun.60959,1.5
vbl_ssh_allreg_jun.60960,1.53999996
vbl_ssh_allreg_jun.60961,1.59000003
vbl_ssh_allreg_jun.60962,1.63
vbl_ssh_allreg_jun.60963,1.65999997
vbl_ssh_allreg_jun.60964,1.67999995
vbl_ssh_allreg_jun.60965,1.70000005
vbl_ssh_allreg_jun.60966,1.71000004
vbl_ssh_allreg_jun.60967,1.73000002
vbl_ssh_allreg_jun.60968,1.74000001
vbl_ssh_allreg_jun.60969,1.75
vbl_ssh_allreg_jun.60970,1.75999999
vbl_ssh_allreg_jun.60971,1.75999999
vbl_ssh_allreg_jun.60972,1.76999998
vbl_ssh_allreg_jun.60973,1.77999997
vbl_ssh_allreg_jun.60974,1.77999997
vbl_ssh_allreg_jun.60975,1.78999996
vbl_ssh_allreg_jun.60976,1.78999996
vbl_ssh_allreg_jun.60977,1.78999996
vbl_ssh_allreg_jun.60978,1.79999995
vbl_ssh_allreg_jun.42,1.92999995
vbl_ssh_allreg_jun.60979,1.79999995
vbl_ssh_allreg_jun.60980,1.79999995
vbl_ssh_allreg_jun.60981,1.79999995
vbl_ssh_allreg_jun.60982,1.80999994
vbl_ssh_allreg_jun.60983,1.80999994
vbl_ssh_allreg_jun.60984,1.02999997
vbl_ssh_allreg_jun.60985,1.14999998
vbl_ssh_allreg_jun.60986,1.21000004
vbl_ssh_allreg_jun.60987,1.24000001
vbl_ssh_allreg_jun.60988,1.27999997
vbl_ssh_allreg_jun.60989,1.28999996
vbl_ssh_allreg_jun.60990,1.27999997
vbl_ssh_allreg_jun.60991,1.24000001
vbl_ssh_allreg_jun.60992,1.13999999
vbl_ssh_allreg_jun.60993,1.11000001
vbl_ssh_allreg_jun.60994,0.95999998
vbl_ssh_allreg_jun.60995,1.20000005
vbl_ssh_allreg_jun.60996,1.24000001
vbl_ssh_allreg_jun.60997,1.32000005
vbl_ssh_allreg_jun.60998,1.38999999
vbl_ssh_allreg_jun.60999,1.41999996
vbl_ssh_allreg_jun.61000,1.42999995
vbl_ssh_allreg_jun.61001,1.42999995
vbl_ssh_allreg_jun.61002,1.40999997
vbl_ssh_allreg_jun.61003,1.38999999
vbl_ssh_allreg_jun.61004,1.38999999
