FID,ann_ssh
vbl_ssh_allreg_ann.60840,1.73000002
vbl_ssh_allreg_ann.60841,1.78999996
vbl_ssh_allreg_ann.60842,1.84000003
vbl_ssh_allreg_ann.60843,1.87
vbl_ssh_allreg_ann.60844,1.89999998
vbl_ssh_allreg_ann.60845,1.91999996
vbl_ssh_allreg_ann.60846,1.96000004
vbl_ssh_allreg_ann.60847,1.97000003
vbl_ssh_allreg_ann.60848,1.94000006
vbl_ssh_allreg_ann.60849,1.89999998
vbl_ssh_allreg_ann.60850,1.82000005
vbl_ssh_allreg_ann.60851,1.98000002
vbl_ssh_allreg_ann.60852,2.05999994
vbl_ssh_allreg_ann.60853,2.1099999
vbl_ssh_allreg_ann.60854,2.11999989
vbl_ssh_allreg_ann.60855,2.0999999
vbl_ssh_allreg_ann.60856,2.01999998
vbl_ssh_allreg_ann.60857,1.99000001
vbl_ssh_allreg_ann.60858,1.80999994
vbl_ssh_allreg_ann.60859,1.78999996
vbl_ssh_allreg_ann.60860,1.89999998
vbl_ssh_allreg_ann.60861,2.03999996
vbl_ssh_allreg_ann.60862,2.1500001
vbl_ssh_allreg_ann.60863,2.24000001
vbl_ssh_allreg_ann.60864,2.29999995
vbl_ssh_allreg_ann.60865,2.3499999
vbl_ssh_allreg_ann.60866,2.38000011
vbl_ssh_allreg_ann.60867,2.41000009
vbl_ssh_allreg_ann.60868,2.43000007
vbl_ssh_allreg_ann.60869,2.44000006
vbl_ssh_allreg_ann.60870,2.46000004
vbl_ssh_allreg_ann.60871,2.47000003
vbl_ssh_allreg_ann.60872,2.48000002
vbl_ssh_allreg_ann.60873,2.49000001
vbl_ssh_allreg_ann.60874,2.5
vbl_ssh_allreg_ann.60875,2.51999998
vbl_ssh_allreg_ann.60876,2.53999996
vbl_ssh_allreg_ann.60877,2.54999995
vbl_ssh_allreg_ann.60878,2.55999994
vbl_ssh_allreg_ann.60879,2.56999993
vbl_ssh_allreg_ann.60880,2.57999992
vbl_ssh_allreg_ann.60881,2.58999991
vbl_ssh_allreg_ann.60882,2.5999999
vbl_ssh_allreg_ann.60883,2.5999999
vbl_ssh_allreg_ann.60884,2.6099999
vbl_ssh_allreg_ann.60885,2.61999989
vbl_ssh_allreg_ann.60886,1.41999996
vbl_ssh_allreg_ann.60887,1.54999995
vbl_ssh_allreg_ann.60888,1.67999995
vbl_ssh_allreg_ann.60889,1.72000003
vbl_ssh_allreg_ann.60890,1.78999996
vbl_ssh_allreg_ann.60891,1.83000004
vbl_ssh_allreg_ann.60892,1.86000001
vbl_ssh_allreg_ann.60893,1.88
vbl_ssh_allreg_ann.60894,1.88999999
vbl_ssh_allreg_ann.60895,1.88
vbl_ssh_allreg_ann.60896,1.79999995
vbl_ssh_allreg_ann.60897,1.74000001
vbl_ssh_allreg_ann.60898,1.70000005
vbl_ssh_allreg_ann.60899,1.89999998
vbl_ssh_allreg_ann.60900,2.00999999
vbl_ssh_allreg_ann.60901,2.06999993
vbl_ssh_allreg_ann.60902,2.06999993
vbl_ssh_allreg_ann.60903,2.02999997
vbl_ssh_allreg_ann.60904,2.00999999
vbl_ssh_allreg_ann.60905,1.90999997
vbl_ssh_allreg_ann.60906,1.87
vbl_ssh_allreg_ann.60907,1.91999996
vbl_ssh_allreg_ann.60908,2.00999999
vbl_ssh_allreg_ann.60909,2.08999991
vbl_ssh_allreg_ann.60910,2.16000009
vbl_ssh_allreg_ann.60911,2.23000002
vbl_ssh_allreg_ann.60912,2.27999997
vbl_ssh_allreg_ann.60913,2.31999993
vbl_ssh_allreg_ann.60914,2.3499999
vbl_ssh_allreg_ann.60915,2.38000011
vbl_ssh_allreg_ann.60916,2.4000001
vbl_ssh_allreg_ann.60917,2.42000008
vbl_ssh_allreg_ann.60918,2.43000007
vbl_ssh_allreg_ann.60919,2.46000004
vbl_ssh_allreg_ann.60920,2.48000002
vbl_ssh_allreg_ann.60921,2.48000002
vbl_ssh_allreg_ann.60922,2.49000001
vbl_ssh_allreg_ann.60923,2.5
vbl_ssh_allreg_ann.60924,2.51999998
vbl_ssh_allreg_ann.60925,2.52999997
vbl_ssh_allreg_ann.60926,2.54999995
vbl_ssh_allreg_ann.60927,2.55999994
vbl_ssh_allreg_ann.60928,2.56999993
vbl_ssh_allreg_ann.60929,2.56999993
vbl_ssh_allreg_ann.60930,2.57999992
