FID,may_ssh
vbl_ssh_allreg_may.60906,1.47000003
vbl_ssh_allreg_may.60907,1.50999999
vbl_ssh_allreg_may.60908,1.58000004
vbl_ssh_allreg_may.60909,1.64999998
vbl_ssh_allreg_may.60910,1.70000005
vbl_ssh_allreg_may.60911,1.75999999
vbl_ssh_allreg_may.60912,1.79999995
vbl_ssh_allreg_may.60913,1.83000004
vbl_ssh_allreg_may.60914,1.86000001
vbl_ssh_allreg_may.60915,1.88
vbl_ssh_allreg_may.60916,1.88999999
vbl_ssh_allreg_may.60917,1.90999997
vbl_ssh_allreg_may.60918,1.91999996
vbl_ssh_allreg_may.60919,1.94000006
vbl_ssh_allreg_may.60920,1.95000005
vbl_ssh_allreg_may.60921,1.95000005
vbl_ssh_allreg_may.60922,1.96000004
vbl_ssh_allreg_may.60923,1.97000003
vbl_ssh_allreg_may.60924,1.98000002
vbl_ssh_allreg_may.60925,1.99000001
vbl_ssh_allreg_may.60926,1.99000001
vbl_ssh_allreg_may.60927,2
vbl_ssh_allreg_may.60928,2
vbl_ssh_allreg_may.60929,2.00999999
vbl_ssh_allreg_may.60930,2.00999999
vbl_ssh_allreg_may.60931,2.00999999
vbl_ssh_allreg_may.60932,2.01999998
vbl_ssh_allreg_may.60933,2.01999998
vbl_ssh_allreg_may.60934,0.93000001
vbl_ssh_allreg_may.60935,1.12
vbl_ssh_allreg_may.60936,1.23000002
vbl_ssh_allreg_may.60937,1.34000003
vbl_ssh_allreg_may.60938,1.37
vbl_ssh_allreg_may.60939,1.41999996
vbl_ssh_allreg_may.60940,1.45000005
vbl_ssh_allreg_may.60941,1.45000005
vbl_ssh_allreg_may.60942,1.45000005
vbl_ssh_allreg_may.60943,1.42999995
vbl_ssh_allreg_may.60944,1.35000002
vbl_ssh_allreg_may.41,2.43000007
vbl_ssh_allreg_may.60945,1.36000001
vbl_ssh_allreg_may.60946,0.99000001
vbl_ssh_allreg_may.60947,1.32000005
vbl_ssh_allreg_may.60948,1.41999996
vbl_ssh_allreg_may.60949,1.5
vbl_ssh_allreg_may.60950,1.57000005
vbl_ssh_allreg_may.60951,1.59000003
vbl_ssh_allreg_may.60952,1.59000003
vbl_ssh_allreg_may.60953,1.58000004
vbl_ssh_allreg_may.60954,1.53999996
vbl_ssh_allreg_may.60955,1.51999998
vbl_ssh_allreg_may.60956,1.52999997
vbl_ssh_allreg_may.60957,1.57000005
vbl_ssh_allreg_may.60958,1.61000001
vbl_ssh_allreg_may.60959,1.64999998
vbl_ssh_allreg_may.60960,1.69000006
vbl_ssh_allreg_may.60961,1.74000001
vbl_ssh_allreg_may.60962,1.77999997
vbl_ssh_allreg_may.60963,1.80999994
vbl_ssh_allreg_may.60964,1.83000004
vbl_ssh_allreg_may.60965,1.86000001
vbl_ssh_allreg_may.60966,1.88
vbl_ssh_allreg_may.60967,1.88999999
vbl_ssh_allreg_may.60968,1.90999997
vbl_ssh_allreg_may.60969,1.92999995
vbl_ssh_allreg_may.60970,1.92999995
vbl_ssh_allreg_may.60971,1.94000006
vbl_ssh_allreg_may.60972,1.95000005
vbl_ssh_allreg_may.60973,1.96000004
vbl_ssh_allreg_may.60974,1.96000004
vbl_ssh_allreg_may.60975,1.97000003
vbl_ssh_allreg_may.60976,1.98000002
vbl_ssh_allreg_may.60977,1.98000002
vbl_ssh_allreg_may.60978,1.99000001
vbl_ssh_allreg_may.42,2.43000007
vbl_ssh_allreg_may.60979,1.99000001
vbl_ssh_allreg_may.60980,2
vbl_ssh_allreg_may.60981,2
vbl_ssh_allreg_may.60982,2.00999999
vbl_ssh_allreg_may.60983,2.00999999
vbl_ssh_allreg_may.60984,1.11000001
vbl_ssh_allreg_may.60985,1.25
vbl_ssh_allreg_may.60986,1.30999994
vbl_ssh_allreg_may.60987,1.34000003
vbl_ssh_allreg_may.60988,1.38999999
vbl_ssh_allreg_may.60989,1.39999998
vbl_ssh_allreg_may.60990,1.38999999
vbl_ssh_allreg_may.60991,1.36000001
vbl_ssh_allreg_may.60992,1.25
vbl_ssh_allreg_may.60993,1.22000003
vbl_ssh_allreg_may.60994,1.04999995
vbl_ssh_allreg_may.60995,1.29999995
vbl_ssh_allreg_may.60996,1.35000002
vbl_ssh_allreg_may.60997,1.44000006
vbl_ssh_allreg_may.60998,1.51999998
vbl_ssh_allreg_may.60999,1.55999994
vbl_ssh_allreg_may.61000,1.57000005
vbl_ssh_allreg_may.61001,1.57000005
vbl_ssh_allreg_may.61002,1.54999995
vbl_ssh_allreg_may.61003,1.52999997
vbl_ssh_allreg_may.61004,1.53999996
vbl_ssh_allreg_may.61005,1.54999995
vbl_ssh_allreg_may.61006,1.57000005
vbl_ssh_allreg_may.61007,1.60000002
vbl_ssh_allreg_may.61008,1.62
vbl_ssh_allreg_may.61009,1.65999997
vbl_ssh_allreg_may.61010,1.71000004
vbl_ssh_allreg_may.61011,1.75
vbl_ssh_allreg_may.61012,1.78999996
