FID,nov_ssh
vbl_ssh_allreg_nov.60479,2.18000007
vbl_ssh_allreg_nov.60480,2.25
vbl_ssh_allreg_nov.60481,2.31999993
vbl_ssh_allreg_nov.60482,2.36999989
vbl_ssh_allreg_nov.60483,2.42000008
vbl_ssh_allreg_nov.60484,2.47000003
vbl_ssh_allreg_nov.60485,2.53999996
vbl_ssh_allreg_nov.60486,2.58999991
vbl_ssh_allreg_nov.60487,2.5999999
vbl_ssh_allreg_nov.60488,2.58999991
vbl_ssh_allreg_nov.60489,2.66000009
vbl_ssh_allreg_nov.60490,2.72000003
vbl_ssh_allreg_nov.60491,2.75999999
vbl_ssh_allreg_nov.60492,2.83999991
vbl_ssh_allreg_nov.60493,2.8599999
vbl_ssh_allreg_nov.35,4.01999998
vbl_ssh_allreg_nov.60494,2.8599999
vbl_ssh_allreg_nov.60495,2.88000011
vbl_ssh_allreg_nov.60496,2.9000001
vbl_ssh_allreg_nov.60497,2.92000008
vbl_ssh_allreg_nov.60498,2.95000005
vbl_ssh_allreg_nov.60499,2.97000003
vbl_ssh_allreg_nov.60500,2.98000002
vbl_ssh_allreg_nov.60501,3.00999999
vbl_ssh_allreg_nov.60502,3.03999996
vbl_ssh_allreg_nov.60503,3.06999993
vbl_ssh_allreg_nov.60504,3.08999991
vbl_ssh_allreg_nov.60505,3.11999989
vbl_ssh_allreg_nov.60506,3.1400001
vbl_ssh_allreg_nov.60507,3.16000009
vbl_ssh_allreg_nov.60508,3.17000008
vbl_ssh_allreg_nov.60509,3.19000006
vbl_ssh_allreg_nov.60510,3.20000005
vbl_ssh_allreg_nov.60511,3.21000004
vbl_ssh_allreg_nov.60512,3.23000002
vbl_ssh_allreg_nov.60513,3.24000001
vbl_ssh_allreg_nov.60514,3.25
vbl_ssh_allreg_nov.60515,3.26999998
vbl_ssh_allreg_nov.60516,3.27999997
vbl_ssh_allreg_nov.60517,3.28999996
vbl_ssh_allreg_nov.60518,3.29999995
vbl_ssh_allreg_nov.60519,0.61000001
vbl_ssh_allreg_nov.60520,0.70999998
vbl_ssh_allreg_nov.60521,0.83999997
vbl_ssh_allreg_nov.60522,0.88
vbl_ssh_allreg_nov.60523,0.86000001
vbl_ssh_allreg_nov.60524,1.26999998
vbl_ssh_allreg_nov.60525,1.40999997
vbl_ssh_allreg_nov.60526,1.58000004
vbl_ssh_allreg_nov.60527,1.70000005
vbl_ssh_allreg_nov.60528,1.78999996
vbl_ssh_allreg_nov.60529,1.88
vbl_ssh_allreg_nov.60530,1.97000003
vbl_ssh_allreg_nov.60531,2.04999995
vbl_ssh_allreg_nov.60532,2.13000011
vbl_ssh_allreg_nov.60533,2.20000005
vbl_ssh_allreg_nov.60534,2.25999999
vbl_ssh_allreg_nov.60535,2.31999993
vbl_ssh_allreg_nov.60536,2.38000011
vbl_ssh_allreg_nov.60537,2.43000007
vbl_ssh_allreg_nov.60538,2.5
vbl_ssh_allreg_nov.60539,2.55999994
vbl_ssh_allreg_nov.60540,2.58999991
vbl_ssh_allreg_nov.60541,2.5999999
vbl_ssh_allreg_nov.60542,2.6500001
vbl_ssh_allreg_nov.60543,2.68000007
vbl_ssh_allreg_nov.60544,2.72000003
vbl_ssh_allreg_nov.60545,2.78999996
vbl_ssh_allreg_nov.60546,2.82999992
vbl_ssh_allreg_nov.60547,2.83999991
vbl_ssh_allreg_nov.60548,2.8499999
vbl_ssh_allreg_nov.60549,2.8599999
vbl_ssh_allreg_nov.60550,2.88000011
vbl_ssh_allreg_nov.60551,2.9000001
vbl_ssh_allreg_nov.60552,2.92000008
vbl_ssh_allreg_nov.60553,2.92000008
vbl_ssh_allreg_nov.60554,2.95000005
vbl_ssh_allreg_nov.60555,2.99000001
vbl_ssh_allreg_nov.60556,3.02999997
vbl_ssh_allreg_nov.60557,3.05999994
vbl_ssh_allreg_nov.60558,3.07999992
vbl_ssh_allreg_nov.60559,3.0999999
vbl_ssh_allreg_nov.60560,3.11999989
vbl_ssh_allreg_nov.60561,3.1400001
vbl_ssh_allreg_nov.60562,3.16000009
vbl_ssh_allreg_nov.36,4.01999998
vbl_ssh_allreg_nov.60563,3.17000008
vbl_ssh_allreg_nov.60564,3.19000006
vbl_ssh_allreg_nov.60565,3.20000005
vbl_ssh_allreg_nov.60566,3.21000004
vbl_ssh_allreg_nov.60567,3.22000003
vbl_ssh_allreg_nov.60568,3.24000001
vbl_ssh_allreg_nov.60569,3.25
vbl_ssh_allreg_nov.60570,3.25999999
vbl_ssh_allreg_nov.60571,3.27999997
vbl_ssh_allreg_nov.60572,3.27999997
vbl_ssh_allreg_nov.60573,0.67000002
vbl_ssh_allreg_nov.60574,0.70999998
vbl_ssh_allreg_nov.60575,0.68000001
vbl_ssh_allreg_nov.60576,1.12
vbl_ssh_allreg_nov.60577,1.33000004
vbl_ssh_allreg_nov.60578,1.51999998
vbl_ssh_allreg_nov.60579,1.61000001
vbl_ssh_allreg_nov.60580,1.71000004
vbl_ssh_allreg_nov.60581,1.79999995
vbl_ssh_allreg_nov.60582,1.89999998
vbl_ssh_allreg_nov.60583,1.99000001
vbl_ssh_allreg_nov.60584,2.05999994
vbl_ssh_allreg_nov.60585,2.13000011
vbl_ssh_allreg_nov.60586,2.20000005
vbl_ssh_allreg_nov.60587,2.26999998
vbl_ssh_allreg_nov.60588,2.32999992
vbl_ssh_allreg_nov.60589,2.38000011
vbl_ssh_allreg_nov.60590,2.44000006
vbl_ssh_allreg_nov.60591,2.5
vbl_ssh_allreg_nov.60592,2.53999996
vbl_ssh_allreg_nov.60593,2.58999991
vbl_ssh_allreg_nov.60594,2.63000011
vbl_ssh_allreg_nov.60595,2.6500001
vbl_ssh_allreg_nov.60596,2.68000007
vbl_ssh_allreg_nov.37,4.01999998
vbl_ssh_allreg_nov.60597,2.74000001
vbl_ssh_allreg_nov.60598,2.77999997
vbl_ssh_allreg_nov.60599,2.79999995
vbl_ssh_allreg_nov.60600,2.80999994
vbl_ssh_allreg_nov.60601,2.81999993
vbl_ssh_allreg_nov.60602,2.82999992
vbl_ssh_allreg_nov.60603,2.83999991
vbl_ssh_allreg_nov.60604,2.8499999
vbl_ssh_allreg_nov.60605,2.80999994
vbl_ssh_allreg_nov.60606,2.8499999
vbl_ssh_allreg_nov.60607,2.9000001
vbl_ssh_allreg_nov.60608,2.97000003
vbl_ssh_allreg_nov.60609,3.00999999
vbl_ssh_allreg_nov.60610,3.03999996
vbl_ssh_allreg_nov.60611,3.06999993
vbl_ssh_allreg_nov.60612,3.08999991
vbl_ssh_allreg_nov.60613,3.1099999
vbl_ssh_allreg_nov.60614,3.13000011
vbl_ssh_allreg_nov.60615,3.1400001
vbl_ssh_allreg_nov.60616,3.16000009
vbl_ssh_allreg_nov.60617,3.17000008
vbl_ssh_allreg_nov.60618,3.18000007
vbl_ssh_allreg_nov.60619,3.20000005
vbl_ssh_allreg_nov.60620,3.21000004
vbl_ssh_allreg_nov.60621,3.22000003
vbl_ssh_allreg_nov.60622,3.23000002
vbl_ssh_allreg_nov.60623,3.24000001
vbl_ssh_allreg_nov.60624,3.25999999
vbl_ssh_allreg_nov.60625,3.25999999
vbl_ssh_allreg_nov.60626,3.26999998
vbl_ssh_allreg_nov.60627,0.57999998
vbl_ssh_allreg_nov.60628,0.57999998
vbl_ssh_allreg_nov.60629,1.10000002
vbl_ssh_allreg_nov.60630,1.37
